Publication_code,1_Peer_review,2_Body_temp,3_Random_allocation,4_Blinded_allocation,5_Blinded_assessment,6_Anaesthetic_not_neuroprotective,7_Model_comorbidity,8_Power_calc,9_Animal_ethics,10_Disclosure_statement,Total_score,Quality_summed
Aerden_2004,Yes,No,Yes,NR,Yes,NA,No,NR,No,No,3,2
Ahmed_2016,Yes,Yes,Yes,NR,NR,NA,No,NR,No,Yes,4,2
Ahn_2016,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Alaverdashvili_2018,Yes,NR,Yes,NR,Yes,NA,No,NR,Yes,Yes,5,2
Alaverdashvili_2008,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Arii_2002,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Avraham_2011,No,NR,NR,NR,Yes,NA,No,NR,Yes,Yes,3,1
Avraham_2010,No,NR,NR,NR,NR,NA,No,NR,Yes,No,1,0
Avraham_2013,Yes,NR,NR,NR,Yes,NA,No,NR,Yes,Yes,4,1
Bai_2014,Yes,NR,Yes,NR,Yes,NA,Yes,NR,Yes,Yes,6,2
Bailey_1995,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Baldwin_1994,Yes,Yes,NR,NR,Yes,NA,No,NR,No,No,3,2
Bandla_2016,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Bandla_2018,Yes,Yes,Yes,Yes,Yes,NA,No,Yes,Yes,Yes,8,5
Baudelet_1999,Yes,NR,NR,NR,NR,NA,No,NR,No,No,1,0
Benham_1993,Yes,NR,NR,NR,Yes,NA,No,NR,No,No,2,1
Bierbower_2015,Yes,Yes,Yes,Yes,Yes,NA,No,Yes,Yes,Yes,8,5
Bix_2013,Yes,Yes,NR,NR,Yes,NA,Yes,NR,Yes,Yes,6,2
Brown_2004,Yes,Yes,Yes,Yes,NR,NA,No,NR,Yes,No,5,3
Buccellati_1998,Yes,Yes,NR,Yes,NR,NA,No,NR,No,No,3,2
Buchkremer-Ratzmann_1997_a,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Cai_2018,Yes,NR,Yes,NR,Yes,NA,Yes,NR,Yes,No,5,2
Cecatto_2014,Yes,NR,Yes,NR,NR,NA,No,NR,Yes,Yes,4,1
Cekanaviciute_2014,Yes,Yes,NA,NR,NR,NA,No,NR,Yes,No,3,1
Chang_2015_a,Yes,NR,NR,NR,Yes,NA,No,NR,Yes,No,3,1
Chang_2015_b,Yes,NR,Yes,NR,Yes,NA,No,NR,Yes,Yes,5,2
Chang_1999,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Chen_2007_a,Yes,Yes,Yes,Yes,NR,NA,No,NR,Yes,No,5,3
Chen_2007_b,Yes,Yes,Yes,Yes,Yes,NA,No,Yes,Yes,Yes,8,5
Chen_2006,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Chen_2016,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Cho_2016_a,Yes,Yes,No,Yes,Yes,NA,No,NR,Yes,Yes,6,3
Cho_2016_b,Yes,NR,Yes,Yes,NR,NA,No,NR,Yes,No,4,2
Choi_2018,Yes,NR,Yes,Yes,Yes,NA,No,NR,Yes,Yes,6,3
Choi_2016_a,Yes,Yes,Yes,No,NR,NA,No,NR,Yes,Yes,5,2
Choy_2016,Yes,NR,NA,NR,Yes,NA,No,NR,Yes,Yes,4,1
Clarkson_2018,Yes,NR,Yes,Yes,NR,NA,No,Yes,Yes,Yes,6,3
Comelli_1993,Yes,Yes,NR,NR,NR,NA,No,NR,No,No,2,1
Cruz_2017,Yes,NR,NR,NR,Yes,NA,No,NR,Yes,No,3,1
Cruz_2018,Yes,NR,NR,NR,Yes,NA,No,NR,Yes,Yes,4,1
Cybulska-Klosowicz_2011,Yes,NR,NR,NR,NR,NA,No,NR,Yes,No,2,0
De Ryck_1990,Yes,NR,NR,NR,NR,NA,No,NR,No,No,1,0
De Ryck_1996,Yes,Yes,NR,NR,NR,NA,No,NR,No,No,2,1
De Ryck_2000,Yes,Yes,NR,Yes,Yes,NA,No,NR,No,No,4,3
De Ryck_1989,Yes,NR,NR,NR,NR,NA,No,NR,No,No,1,0
Demougeot_2004_a,Yes,NR,NR,NR,NR,NA,No,NR,Yes,No,2,0
Abo_2003,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Alamri_2018,Yes,Yes,Yes,NR,Yes,NA,No,NR,No,No,4,3
Alaverdashvili_2015,Yes,Yes,NA,NA,NR,NA,No,NR,Yes,No,3,1
Balbi_2017,Yes,Yes,NA,NR,NR,NA,No,NR,Yes,Yes,4,1
Becker_2016,Yes,NR,NA,NA,NA,NA,No,NR,Yes,No,2,0
Brima_2013,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,Yes,4,1
Brown_2003,Yes,Yes,No,NR,NR,NA,Yes,NR,Yes,No,4,1
Buchkremer-Ratzmann_1996,Yes,Yes,NA,NA,NA,NA,No,NR,No,No,2,1
Buchkremer-Ratzmann_1997_b,Yes,Yes,NR,No,NR,NA,No,NR,Yes,No,3,1
Cai_1998,Yes,Yes,Yes,NR,NR,NA,No,NR,Yes,No,4,2
Chen_2008,Yes,Yes,NA,NA,NA,NA,No,NR,Yes,No,3,1
Chen_2004_a,Yes,Yes,NA,NA,NA,NA,No,NR,Yes,No,3,1
Chen_2004_b,Yes,Yes,NR,NR,NR,NA,No,Yes,Yes,Yes,5,2
Chen_2005,Yes,Yes,NA,NA,NA,NA,No,NR,Yes,No,3,1
Chen_2007_c,Yes,Yes,NA,NA,NA,NA,No,NR,Yes,No,3,1
Choi_2012,Yes,Yes,NR,No,NR,NA,No,NR,Yes,Yes,4,1
Choi_2016_b,Yes,Yes,Yes,NR,NR,NA,No,NR,Yes,Yes,5,2
Clarkson_2010,Yes,Yes,NR,NR,NR,NA,No,NR,No,No,2,1
Clarkson_2013,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Clarkson_2011,Yes,Yes,NR,NR,NR,NA,No,NR,No,Yes,3,1
Cotrina_2017,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
De Ryck_1992,Yes,NR,NR,No,NR,NA,No,NR,No,No,1,0
Demougeot_2003,Yes,NR,NR,NR,NR,NA,No,NR,Yes,No,2,0
Demougeot_2004_b,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,No,4,2
Demyanenko_2018_a,Yes,NR,NA,NA,NA,NA,No,NR,Yes,Yes,3,0
Demyanenko_2017,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Demyanenko_2018_b,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Deng_2017,Yes,NR,Yes,NR,Yes,NA,No,NR,Yes,No,4,2
Diederich_2012_a,Yes,Yes,Yes,Yes,Yes,NA,No,NR,Yes,Yes,7,4
Diederich_2012_b,Yes,Yes,Yes,Yes,Yes,NA,No,NR,Yes,Yes,7,4
Diederich_2014_a,Yes,Yes,Yes,Yes,Yes,NA,Yes,NR,Yes,No,7,4
Diederich_2014_b,Yes,Yes,Yes,NR,Yes,NA,No,NR,Yes,Yes,6,3
Dietrich_1989,Yes,Yes,NR,No,Yes,NA,No,NR,No,No,3,2
Ding_2016,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,Yes,5,2
Ding_2009,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Egea_2014,Yes,Yes,Yes,NR,NR,NA,No,NR,Yes,No,4,2
Elger_1997,No,Yes,NR,NR,NR,NA,Yes,NR,Yes,No,3,1
Erdo_2005,Yes,Yes,NR,NR,Yes,NA,No,NR,No,No,3,2
Feng_2018,Yes,Yes,NR,NR,NR,NA,Yes,NR,Yes,Yes,5,1
Feng_2017,Yes,NR,NR,NR,Yes,NA,No,Yes,Yes,Yes,5,2
Fluri_2017,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,Yes,4,1
Frieler_2012,Yes,NR,NR,NR,Yes,NA,No,Yes,Yes,Yes,5,2
Fukuda_2000,Yes,Yes,Yes,NR,NR,NA,Yes,NR,Yes,No,5,2
Fukumoto_2009,Yes,NR,NR,NR,Yes,NA,No,NR,Yes,No,3,1
Fukuta_2017,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Fukuta_2018,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,Yes,4,1
Furuichi_2003,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,No,4,2
Furuichi_2007,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,No,4,2
Gaser_2012,Yes,Yes,NR,NR,NR,NA,Yes,NR,Yes,No,4,1
Geibig_2012,Yes,NR,Yes,Yes,Yes,NA,No,NR,Yes,No,5,3
Ginsberg_1989,Yes,Yes,NR,NR,NR,NA,No,NR,No,No,2,1
Ginsberg_1987,Yes,NR,NR,NR,NR,NA,Yes,NR,No,No,2,0
Gorlamandala_2018,Yes,Yes,Yes,No,Yes,NA,No,Yes,Yes,Yes,7,4
Grome_1988,Yes,NR,NR,NR,No,NA,No,NR,No,No,1,0
Guan_2001,Yes,Yes,Yes,NR,NR,NA,No,NR,No,NR,3,2
Guo_2016,Yes,Yes,Yes,NR,NR,NA,No,NR,Yes,Yes,5,2
Hakon_2018,Yes,Yes,Yes,Yes,Yes,NA,No,NR,Yes,No,6,4
Halder_2013,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Han_2017,Yes,NR,NR,NR,Yes,NA,No,NR,Yes,Yes,4,1
Harrison_2013,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,Yes,4,1
Haupt_2007,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
He_2013,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,Yes,5,2
Heimann_1999,Yes,Yes,Yes,NR,NR,NA,No,NR,Yes,No,4,2
Heimann_2003,Yes,Yes,Yes,NR,Yes,NA,No,NR,Yes,No,5,3
Hernandez-Jimenez_2017,Yes,Yes,Yes,Yes,Yes,NA,No,Yes,Yes,No,7,5
Hines_2013,Yes,NR,NR,NR,NR,NA,No,NR,Yes,No,2,0
Hirono_2018,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Hosseini_2018_a,Yes,NR,Yes,NR,NR,NA,No,NR,Yes,Yes,4,1
Hosseini_2018_b,Yes,NR,Yes,NR,NR,NA,No,NR,Yes,Yes,4,1
Hou_2017,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,Yes,4,1
Hurwitz_1991,Yes,NR,Yes,Yes,NR,NA,No,NR,No,No,3,2
Hwang_2018,Yes,Yes,Yes,NR,NR,NA,No,NR,Yes,Yes,5,2
Igarashi_2011,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Ikeda_2013_a,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Ikeda_2013_b,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Ikeda_2013_c,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Ikeda_2005,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,No,4,2
Imura_1995,Yes,Yes,NR,NR,NR,NA,No,NR,No,No,2,1
Inui_2013,Yes,Yes,Yes,NR,Yes,NA,No,NR,Yes,No,5,3
Ishikawa_2009,Yes,Yes,NR,NR,NR,NA,Yes,NR,Yes,No,4,1
Ito_2010,Yes,Yes,NR,NR,NR,NA,Yes,Yes,Yes,No,5,2
Iwashita_2003,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Jablonka_2012,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Jablonka_2006,Yes,NR,NR,NA,NR,NA,No,NR,Yes,No,2,0
Jadavji_2018,Yes,Yes,Yes,NR,Yes,NA,No,NR,Yes,No,5,3
Jang_2014,Yes,NR,NR,NR,NR,NA,No,NR,No,Yes,2,0
Jiao_2017,Yes,Yes,Yes,Yes,Yes,NA,No,NR,Yes,Yes,7,4
Jin_2017,Yes,NR,Yes,NR,Yes,NA,No,NR,Yes,Yes,5,2
Jin_2010,Yes,Yes,Yes,NR,Yes,NA,No,NR,No,No,4,3
Jolkkonen_2007,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Kaido_2003,Yes,Yes,NR,Yes,Yes,NA,No,NR,Yes,No,5,3
Kaku_1997,Yes,Yes,NR,NR,NR,NA,No,NR,No,No,2,1
Kaku_1998,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Kang_2015_a,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,No,4,2
Kang_2013,Yes,NR,Yes,NR,Yes,NA,No,NR,Yes,Yes,5,2
Kang_2015_b,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,Yes,4,1
Kao_2014,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,No,4,2
Karasawa_2002,Yes,Yes,NR,NR,Yes,NA,Yes,NR,Yes,No,5,2
Karetko-Sysa_2011,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Karlsson_2018,Yes,Yes,No,NR,Yes,NA,No,No,Yes,No,4,2
Kawaguchi_2007,Yes,NR,NR,NR,Yes,NA,No,NR,Yes,Yes,4,1
Kawaguchi_2009,Yes,NR,NR,NR,Yes,NA,No,NR,Yes,No,3,1
Kawai_1995,No,Yes,NR,NR,NR,NA,No,NR,No,No,1,1
Kawano_1998,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Kawano_1999,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Kawano_2000,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Keiner_2008,Yes,Yes,Yes,Yes,Yes,NA,No,NR,No,No,5,4
Keiner_2009,Yes,Yes,NR,Yes,Yes,NA,No,NR,Yes,No,5,3
Kelly_2001,Yes,NR,NR,NR,NR,NA,Yes,NR,Yes,No,3,0
Kharlamov_1997,Yes,NR,NR,NR,NR,NA,No,NR,Yes,No,2,0
Kharlamov_2000,No,Yes,Yes,No,Yes,NA,Yes,NR,Yes,No,5,3
Kharlamov_1994,Yes,Yes,Yes,NR,NR,NA,No,NR,No,No,3,2
Kim_2015,Yes,Yes,NR,NA,Yes,NA,No,NR,Yes,Yes,5,2
Kim_2000,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Kim_2014,Yes,Yes,NA,NA,Yes,NA,No,NR,Yes,Yes,5,2
Kim_2013,No,NR,NR,NR,Yes,NA,No,NR,Yes,Yes,3,1
Kim_2016,Yes,NR,Yes,Yes,NR,NA,No,NR,Yes,Yes,5,2
Kim_2018,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,Yes,4,1
Kimura_2005,Yes,Yes,Yes,Yes,NR,NA,No,NR,Yes,No,5,3
Kitayama_2001,Yes,Yes,NR,NR,NR,NA,Yes,NR,Yes,No,4,1
Kleinschnitz_2003,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Kleinschnitz_2008,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Kleinschnitz_2005,Yes,Yes,NA,NA,NA,NA,No,NR,Yes,No,3,1
Kluska_2005,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Knieling_2009,Yes,NR,NR,NR,NR,NA,No,NR,Yes,No,2,0
Koroleva_1998,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,No,4,2
Krysl_2012,Yes,NR,Yes,NR,NR,NA,No,NR,Yes,Yes,4,1
Kunze_2015,Yes,NR,NR,Yes,NR,NA,No,NR,Yes,Yes,4,1
Kunze_2006,Yes,Yes,NR,NR,NR,NA,No,NR,No,No,2,1
Kuroiwa_2016,Yes,Yes,NR,NR,NR,NA,No,NR,No,Yes,3,1
Kuroiwa_2009,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,No,4,2
Kurtys_2019,Yes,Yes,Yes,NR,Yes,NA,No,NR,Yes,Yes,6,3
Ladwig_2018,Yes,Yes,Yes,Yes,NR,NA,No,NR,Yes,No,5,3
Ladwig_2017,Yes,NR,Yes,Yes,Yes,NA,No,NR,Yes,Yes,6,3
Lai_2015,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Lanens_1993,Yes,NR,NA,NA,NA,NA,No,NR,No,No,1,0
Lapash Daniels_2009,Yes,Yes,NR,NR,Yes,NA,No,NR,No,No,3,2
Lee_2016,Yes,Yes,Yes,Yes,Yes,NA,No,NR,Yes,Yes,7,4
Lee_2007,No,Yes,NA,NA,NA,NA,No,NR,Yes,No,2,1
Lee_2011,Yes,Yes,NA,NA,NA,NA,No,NR,No,No,2,1
Lee_2014,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,No,4,2
Leistra_1993,Yes,Yes,NR,NR,NR,NA,No,NR,No,No,2,1
Lembach_2018,Yes,NR,NR,NR,Yes,NA,No,NR,Yes,Yes,4,1
Lemmens_2013,Yes,NR,NR,Yes,Yes,NA,No,Yes,Yes,Yes,6,3
Levi_2012,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,Yes,4,1
Li_2017,Yes,Yes,Yes,NR,NR,NA,No,Yes,Yes,Yes,6,3
Li_2015_a,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Li_2013_a,Yes,NR,NR,NR,NR,NA,No,NR,Yes,No,2,0
Li_2014,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,Yes,5,2
Li_2010,Yes,NR,Yes,Yes,NR,NA,No,NR,Yes,No,4,2
Li_2018,Yes,Yes,Yes,NR,NR,NA,No,NR,Yes,Yes,5,2
Li_2015_b,Yes,Yes,Yes,NR,Yes,NA,No,NR,Yes,Yes,6,3
Li_2013_b,Yes,NR,Yes,NR,NR,NA,No,NR,Yes,Yes,4,1
Liao_2014,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Liao_2015,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,Yes,4,1
Lie_2017,Yes,Yes,Yes,Yes,Yes,NA,No,Yes,Yes,Yes,8,5
Lie_2018,Yes,Yes,Yes,Yes,Yes,NA,No,Yes,Yes,Yes,8,5
Liebigt_2012,Yes,NR,Yes,NR,NR,NA,No,NR,Yes,No,3,1
Liguz-Lecznar_2014,Yes,NR,NR,NR,NR,NA,No,NR,Yes,No,2,0
Liguz-Lecznar_2015,Yes,NR,NR,NR,NR,NA,Yes,Yes,Yes,Yes,5,1
